Model,RMSE,MAE,R2
linear,3.5271576280008956,2.928845358181214,0.7426772474511132
ridge,3.5317705591178914,2.887088021118489,0.7420037372402892
random_forest,7.585689145372142,6.601641072016952,-0.19019613206431818
